game_uid,sequence,winner_side,winner
14oE4MSFPc_0003_G1,"blue_ban_Luo Yi,red_ban_Lunox,blue_ban_Minotaur,red_ban_Lylia,blue_ban_Chip,red_ban_Esmeralda,blue_ban_Ling,red_ban_Yve,blue_ban_Vexana,red_ban_Xavier,blue_pick_Yu Zhong,red_pick_Terizla,red_pick_Hylos,blue_pick_Baxia,blue_pick_Faramis,red_pick_Angela,red_pick_Hanabi,blue_pick_Harith,blue_pick_Tigreal,red_pick_Floryn",blue,1
14oE4MSFPc_0003_G2,"blue_ban_Baxia,red_ban_Harith,blue_ban_Lunox,red_ban_Minotaur,blue_ban_Esmeralda,red_ban_Luo Yi,blue_ban_Brody,red_ban_Floryn,blue_ban_Fredrinn,red_ban_Vexana,blue_pick_Terizla,red_pick_Yu Zhong,red_pick_X.Borg,blue_pick_Alpha,blue_pick_Angela,red_pick_Faramis,red_pick_Moskov,blue_pick_Hanabi,blue_pick_Mathilda,red_pick_Chip",red,0
14oE4MSFPc_0004_G1,"blue_ban_Carmilla,red_ban_Luo Yi,blue_ban_Yu Zhong,red_ban_Chip,blue_ban_Angela,red_ban_Fredrinn,blue_ban_Helcurt,red_ban_Harith,blue_ban_Yin,red_ban_Minotaur,blue_pick_Cici,red_pick_Ruby,red_pick_Granger,blue_pick_Lancelot,blue_pick_Kagura,red_pick_Chang'e,red_pick_Roger,blue_pick_Miya,blue_pick_Franco,red_pick_Mathilda",red,0
14oE4MSFPc_0004_G2,"blue_ban_Luo Yi,red_ban_Angela,blue_ban_Minotaur,red_ban_Yu Zhong,blue_ban_Fredrinn,red_ban_Carmilla,blue_ban_Valir,red_ban_Helcurt,blue_ban_Nana,red_ban_Harith,blue_pick_Khaleed,red_pick_Gatotkaca,red_pick_Ling,blue_pick_Granger,blue_pick_Chang'e,red_pick_Lylia,red_pick_Lesley,blue_pick_Claude,blue_pick_Chip,red_pick_Atlas",blue,1
14oE4MSFPc_0005_G1,"blue_ban_Luo Yi,red_ban_Lylia,blue_ban_Roger,red_ban_Chip,blue_ban_Angela,red_ban_Fredrinn,blue_ban_Faramis,red_ban_Valentina,blue_ban_Vexana,red_ban_Mathilda,blue_pick_Yu Zhong,red_pick_Ruby,red_pick_X.Borg,blue_pick_Baxia,blue_pick_Lunox,red_pick_Novaria,red_pick_Harith,blue_pick_Moskov,blue_pick_Kaja,red_pick_Minotaur",red,0
14oE4MSFPc_0005_G2,"blue_ban_Lylia,red_ban_Luo Yi,blue_ban_Yu Zhong,red_ban_Roger,blue_ban_Moskov,red_ban_X.Borg,blue_ban_Faramis,red_ban_Natan,blue_ban_Lunox,red_ban_Vexana,blue_pick_Ruby,red_pick_Cici,red_pick_Fredrinn,blue_pick_Barats,blue_pick_Gord,red_pick_Novaria,red_pick_Harith,blue_pick_Claude,blue_pick_Mathilda,red_pick_Chip",blue,1
14oE4MSFPc_0006_G1,"blue_ban_Mathilda,red_ban_Ling,blue_ban_Minotaur,red_ban_Granger,blue_ban_Khufra,red_ban_Diggie,blue_ban_Alpha,red_ban_Vexana,blue_ban_Fanny,red_ban_Hanzo,blue_pick_Cici,red_pick_Terizla,red_pick_Balmond,blue_pick_Roger,blue_pick_Kagura,red_pick_Luo Yi,red_pick_Hanabi,blue_pick_Melissa,blue_pick_Atlas,red_pick_Carmilla",red,0
14oE4MSFPc_0006_G2,"blue_ban_Ling,red_ban_Luo Yi,blue_ban_Granger,red_ban_Carmilla,blue_ban_Diggie,red_ban_Minotaur,blue_ban_Lesley,red_ban_Hanabi,blue_ban_Melissa,red_ban_Alpha,blue_pick_Terizla,red_pick_Sun,red_pick_Roger,blue_pick_Karina,blue_pick_Zhask,red_pick_Nana,red_pick_Miya,blue_pick_Ixia,blue_pick_Mathilda,red_pick_Tigreal",blue,1
1hEBMaHVAZ_0001_G1,"blue_ban_Diggie,red_ban_Martis,blue_ban_Rafaela,red_ban_Mathilda,blue_ban_Novaria,red_ban_Fredrinn,blue_ban_Brody,red_ban_X.Borg,blue_ban_Ixia,red_ban_Yu Zhong,blue_pick_Benedetta,red_pick_Terizla,red_pick_Baxia,blue_pick_Akai,blue_pick_Valentina,red_pick_Gord,red_pick_Karrie,blue_pick_Irithel,blue_pick_Angela,red_pick_Floryn",blue,1
1hEBMaHVAZ_0002_G1,"blue_ban_Diggie,red_ban_Joy,blue_ban_Kaja,red_ban_Mathilda,blue_ban_Rafaela,red_ban_Angela,blue_ban_Valentina,red_ban_Ixia,blue_ban_Valir,red_ban_Lolita,blue_pick_Khaleed,red_pick_Terizla,red_pick_Baxia,blue_pick_X.Borg,blue_pick_Novaria,red_pick_Alice,red_pick_Irithel,blue_pick_Bruno,blue_pick_Grock,red_pick_Minotaur",red,0
1hEBMaHVAZ_0003_G1,"blue_ban_Mathilda,red_ban_Kaja,blue_ban_Layla,red_ban_Valentina,blue_ban_Miya,red_ban_Franco,blue_ban_Brody,red_ban_Karrie,blue_ban_Irithel,red_ban_Bruno,blue_pick_X.Borg,red_pick_Terizla,red_pick_Joy,blue_pick_Lancelot,blue_pick_Novaria,red_pick_Faramis,red_pick_Beatrix,blue_pick_Wanwan,blue_pick_Rafaela,red_pick_Angela",blue,1
